seg_id,surah,ayah,tafsir_id,query_index,query_text,prompt_tokens,completion_tokens,total_tokens
1249,At-Taubah,14,At-Taubah:14,1,Apa alasan utama diperbolehkannya memerangi mereka?,621,125,746
1249,At-Taubah,14,At-Taubah:14,2,"Mengapa perang harus dilakukan untuk meraih ridha Allah, bukan untuk rampasan perang?",621,125,746
1249,At-Taubah,14,At-Taubah:14,3,Bagaimana Allah akan menghina musuh melalui perang ini?,621,125,746
1249,At-Taubah,14,At-Taubah:14,4,Siapa yang akan diteguhkan hatinya setelah kemenangan?,621,125,746
1249,At-Taubah,14,At-Taubah:14,5,Kapan kaum muslimin mengalami penyiksaan dari musyrikin Mekah?,621,125,746
1249,At-Taubah,14,At-Taubah:14,6,Apa tujuan akhir dari peperangan ini menurut tafsir?,621,125,746
1250,At-Taubah,15,At-Taubah:15,1,Apa yang dihilangkan Allah dari hati orang-orang mukmin menurut teks tersebut?,557,131,688
1250,At-Taubah,15,At-Taubah:15,2,Mengapa orang-orang mukmin marah sebelum Allah menghilangkan kemarahannya?,557,131,688
1250,At-Taubah,15,At-Taubah:15,3,Bagaimana sikap Allah terhadap orang yang bertobat dengan tulus?,557,131,688
1250,At-Taubah,15,At-Taubah:15,4,Siapa yang memiliki hak dan kewajiban yang sama dengan kita jika bertobat?,557,131,688
1250,At-Taubah,15,At-Taubah:15,5,Kapan tobat seseorang diterima oleh Allah?,557,131,688
1250,At-Taubah,15,At-Taubah:15,6,Apa bukti bahwa Allah Maha Mengetahui dan Mahabijaksana dalam konteks ini?,557,131,688
1251,At-Taubah,16,At-Taubah:16,1,Apa alasan diperintahkannya perang terhadap kaum musyrik yang merusak perjanjian?,690,167,857
1251,At-Taubah,16,At-Taubah:16,2,Bagaimana cara membedakan orang yang berperang karena Allah dengan yang mengharap duniawi?,690,167,857
1251,At-Taubah,16,At-Taubah:16,3,Mengapa Allah belum mengetahui kesungguhan keimanan kaum mukminin tanpa jihad?,690,167,857
1251,At-Taubah,16,At-Taubah:16,4,"Siapa yang tidak boleh dijadikan teman setia selain Allah, Rasul, dan orang beriman?",690,167,857
1251,At-Taubah,16,At-Taubah:16,5,Apa akibat jika kaum mukminin mengambil musyrik sebagai teman?,690,167,857
1251,At-Taubah,16,At-Taubah:16,6,Bagaimana sikap Allah terhadap perbuatan kaum mukminin?,690,167,857
1251,At-Taubah,16,At-Taubah:16,7,Kapan kaum musyrik berhenti merusak perjanjian dan mencerca agama?,690,167,857
1252,At-Taubah,17,At-Taubah:17,1,Apa maksud dari pembatalan amalan kaum musyrik yang disebutkan dalam tafsir?,613,155,768
1252,At-Taubah,17,At-Taubah:17,2,Mengapa amalan baik seperti memakmurkan masjid menjadi sia-sia bagi orang musyrik?,613,155,768
1252,At-Taubah,17,At-Taubah:17,3,Bagaimana hubungan antara iman dan amal dalam penjelasan tafsir ini?,613,155,768
1252,At-Taubah,17,At-Taubah:17,4,Kapan perjanjian dengan kaum musyrik dibatalkan menurut tafsir?,613,155,768
1252,At-Taubah,17,At-Taubah:17,5,Apa akibat kekufuran terhadap amal-amal baik seseorang?,613,155,768
1252,At-Taubah,17,At-Taubah:17,6,Mengapa orang musyrik tidak pantas memakmurkan masjid setelah penaklukan Mekah?,613,155,768
1252,At-Taubah,17,At-Taubah:17,7,Bagaimana tafsir menjelaskan tentang nasib orang musyrik di akhirat?,613,155,768
1253,At-Taubah,18,At-Taubah:18,1,Siapa saja yang berhak memakmurkan masjid menurut kriteria tersebut?,527,135,662
1253,At-Taubah,18,At-Taubah:18,2,Mengapa hanya orang beriman yang dianggap paling berhak?,527,135,662
1253,At-Taubah,18,At-Taubah:18,3,Apa saja amalan yang harus dilakukan untuk memakmurkan masjid?,527,135,662
1253,At-Taubah,18,At-Taubah:18,4,Bagaimana hubungan antara tidak takut kecuali kepada Allah dengan memakmurkan masjid?,527,135,662
1253,At-Taubah,18,At-Taubah:18,5,Apakah menunaikan zakat wajib untuk bisa memakmurkan masjid?,527,135,662
1253,At-Taubah,18,At-Taubah:18,6,Mengapa petunjuk ke jalan yang benar diharapkan bagi mereka yang memakmurkan masjid?,527,135,662
1254,At-Taubah,19,At-Taubah:19,1,Apa keunggulan orang yang beriman kepada Allah dan hari akhir serta berjihad di jalan Allah?,591,115,706
1254,At-Taubah,19,At-Taubah:19,2,Mengapa perbuatan baik kaum musyrik seperti memberi minum jamaah haji tidak sama dengan amalan orang beriman?,591,115,706
1254,At-Taubah,19,At-Taubah:19,3,Bagaimana syirik memengaruhi nilai amal perbuatan seseorang?,591,115,706
1254,At-Taubah,19,At-Taubah:19,4,Siapa yang tidak akan mendapat petunjuk dari Allah menurut tafsir ini?,591,115,706
1254,At-Taubah,19,At-Taubah:19,5,Mengapa syirik disebut sebagai kezaliman terbesar?,591,115,706
1255,At-Taubah,20,At-Taubah:20,1,Apa saja kriteria orang yang derajatnya lebih tinggi di sisi Allah menurut teks ini?,548,138,686
1255,At-Taubah,20,At-Taubah:20,2,Mengapa orang beriman yang berhijrah dan berjihad dianggap lebih tinggi derajatnya daripada orang kafir yang berbuat baik?,548,138,686
1255,At-Taubah,20,At-Taubah:20,3,Bagaimana cara berjihad di jalan Allah yang disebutkan dalam teks ini?,548,138,686
1255,At-Taubah,20,At-Taubah:20,4,Siapa yang dimaksud dengan 'orang-orang yang memperoleh kemenangan yang hakiki'?,548,138,686
